#DATA,,,,,,,,,,,,,,,,,,,,
Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Engagement,Valence,Sentimentality,Confusion,Neutral
1,3499.1847,1,StartSlide,TestImage,10000,StimuliDisplay,fear1,,,,,,,,,,,,,
2,3505.1673,,,,,,fear1,1,,,,,,,,,,,,
3,3539.0762,,,,,,fear1,1,0.0093310922384262085,0.011575830169022083,0.0025450838729739189,0.009797767736017704,99.929855346679688,0.0097674699500203133,0.055692698806524277,99.981025695800781,99.641868591308594,0.084951028227806091,0.0018544921185821295,0
4,3571.9881,,,,,,fear1,1,,,,,,,,,,,,
5,3605.9374,,,,,,fear1,1,0.008420976810157299,0.012618895620107651,0.0021726679988205433,0.0094402367249131203,99.908340454101563,0.0093325069174170494,0.055967818945646286,99.98101806640625,99.743255615234375,0.027873378247022629,0.0016647722804918885,0
6,3609.9262,1,StartMedia,TestImage,10000,StimuliDisplay,fear1,,,,,,,,,,,,,
7,3639.1586,,,,,,fear1,1,,,,,,,,,,,,
8,3673.0683,,,,,,fear1,1,0.0076847048476338387,0.011077288538217545,0.001899273251183331,0.0093134287744760513,99.88323974609375,0.00894914660602808,0.056052591651678085,99.981002807617188,99.777198791503906,0.0080697070807218552,0.001713969511911273,0
9,3705.9798,,,,,,fear1,1,,,,,,,,,,,,
10,3738.9268,,,,,,fear1,1,0.0076242964714765549,0.012347850017249584,0.0019174632616341114,0.010341247543692589,99.927871704101563,0.0096874544396996498,0.056338455528020859,99.980995178222656,99.676132202148438,0.0091619528830051422,0.0016703446162864566,0
11,3772.8344,,,,,,fear1,1,,,,,,,,,,,,
12,3805.7471,,,,,,fear1,1,0.0074195433408021927,0.010992246679961681,0.0018782531842589378,0.010043625719845295,99.946136474609375,0.010157035663723946,0.056395318359136581,99.980979919433594,99.57427978515625,0.011692380532622337,0.0019561669323593378,0
13,3839.6822,,,,,,fear1,1,,,,,,,,,,,,
14,3872.9374,,,,,,fear1,1,0.0078211277723312378,0.0088484641164541245,0.002060240600258112,0.0096914004534482956,99.945625305175781,0.010076183825731277,0.056903541088104248,99.980995178222656,99.50579833984375,0.0065561789087951183,0.0025019929744303226,0
15,3905.8493,,,,,,fear1,1,,,,,,,,,,,,
16,3943.7465,,,,,,fear1,1,0.0077632139436900616,0.0068752714432775974,0.0020997028332203627,0.0089088995009660721,99.928855895996094,0.0095422361046075821,0.056990247219800949,99.980979919433594,99.3419189453125,0.0046069449745118618,0.0026204683817923069,0
17,3972.67,,,,,,fear1,1,,,,,,,,,,,,
18,4006.6077,,,,,,fear1,1,0.0074098845943808556,0.0083891646936535835,0.0018873924855142832,0.0085971886292099953,99.885177612304688,0.0088365329429507256,0.057259794324636459,99.980995178222656,99.590133666992188,0.0066026328131556511,0.0032227812334895134,0
19,4039.5211,,,,,,fear1,1,,,,,,,,,,,,
20,4072.4323,,,,,,fear1,1,0.0073194862343370914,0.0098086213693022728,0.0018407379975542426,0.0086963139474391937,99.923553466796875,0.009520314633846283,0.057029370218515396,99.980995178222656,99.617874145507813,0.012740747071802616,0.0041267215274274349,0
21,4107.3385,,,,,,fear1,1,,,,,,,,,,,,
22,4139.2541,,,,,,fear1,1,0.0076763629913330078,0.012321327812969685,0.0020539727993309498,0.0091329840943217278,99.947372436523438,0.010097075253725052,0.056516930460929871,99.981002807617188,99.350875854492188,0.012532388791441917,0.0045133726671338081,0
23,4173.1623,,,,,,fear1,1,,,,,,,,,,,,
24,4206.2825,,,,,,fear1,1,0.0081460103392601013,0.015035250224173069,0.0021851183846592903,0.0095077045261859894,99.912971496582031,0.0092964014038443565,0.056308362632989883,99.981002807617188,99.47344970703125,0.010074243880808353,0.0042246771045029163,0
25,4239.1942,,,,,,fear1,1,,,,,,,,,,,,
26,4273.1033,,,,,,fear1,1,,,,,,,,,,,,
27,4306.0162,,,,,,fear1,1,,,,,,,,,,,,
28,4339.9256,,,,,,fear1,1,0.0084693124517798424,0.015444552525877953,0.0021784708369523287,0.0093574672937393188,98.209999084472656,0.0055211395956575871,0.055863328278064728,99.980995178222656,99.774398803710938,0.035997964441776276,0.0044491691514849663,0
29,4372.8374,,,,,,fear1,1,,,,,,,,,,,,
30,4406.7471,,,,,,fear1,1,0.0078079900704324245,0.0091518508270382881,0.0019426108337938786,0.0076684458181262016,96.015594482421875,0.0047779683955013752,0.055872038006782532,99.980911254882813,99.7371826171875,0.11734170466661453,0.0036225994117558002,0
31,4439.6587,,,,,,fear1,1,,,,,,,,,,,,
32,4472.6069,,,,,,fear1,1,0.0071352710947394371,0.00073048804188147187,0.0017236537532880902,0.0068476526066660881,94.685707092285156,0.0045371288433670998,0.056045327335596085,99.980621337890625,99.673233032226563,0.16011594235897064,0.0022476660087704659,0
33,4506.5163,,,,,,fear1,1,,,,,,,,,,,,
34,4539.4294,,,,,,fear1,1,0.0062968116253614426,0.00011018665099982172,0.0014195682015269995,0.0060967500321567059,94.24169921875,0.0045723547227680683,0.05588497593998909,99.979469299316406,99.361373901367188,0.051868058741092682,0.0011478865053504705,0
35,4573.3373,,,,,,fear1,1,,,,,,,,,,,,
36,4606.2493,,,,,,fear1,1,0.0059999567456543446,0.00012051683734171093,0.0012784278951585293,0.0058894040994346142,93.421562194824219,0.0047718584537506104,0.055927585810422897,99.975090026855469,98.140472412109375,0.045111775398254395,0.00090095959603786469,0
37,4640.1597,,,,,,fear1,1,,,,,,,,,,,,
