#DATA,,,,,,,,,,,,,,,,,,,,
Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Engagement,Valence,Sentimentality,Confusion,Neutral
1,4902.9119,1,StartSlide,TestImage,10000,StimuliDisplay,fear1,,,,,,,,,,,,,
2,4928.8467,,,,,,fear1,1,,,,,,,,,,,,
3,4962.7519,,,,,,fear1,1,0.13400694727897644,0.18879923224449158,0.02491484023630619,0.1263597160577774,0.025773156434297562,0.13077738881111145,0.055287770926952362,0.3287661075592041,0,0.48636308312416077,0.036106608808040619,99.622390747070313
4,4995.6646,,,,,,fear1,1,,,,,,,,,,,,
5,5006.6363,1,StartMedia,TestImage,10000,StimuliDisplay,fear1,,,,,,,,,,,,,
6,5046.5283,,,,,,fear1,1,0.13327540457248688,0.18928501009941101,0.024943316355347633,0.12656314671039581,0.025780234485864639,0.13120031356811523,0.055290140211582184,0.3287661075592041,0,0.54775863885879517,0.042530950158834457,99.621429443359375
7,5063.4833,,,,,,fear1,1,,,,,,,,,,,,
8,5105.3709,,,,,,fear1,1,,,,,,,,,,,,
9,5129.3067,,,,,,fear1,1,0.13171137869358063,0.18980951607227325,0.024930192157626152,0.12677180767059326,0.025505261495709419,0.13127920031547546,0.055289745330810547,0.3287661075592041,0,0.41210848093032837,0.045963287353515625,99.620384216308594
10,5163.2164,,,,,,fear1,1,,,,,,,,,,,,
11,5196.128,,,,,,fear1,1,,,,,,,,,,,,
12,5230.0376,,,,,,fear1,1,,,,,,,,,,,,
13,5262.9495,,,,,,fear1,1,0.13177749514579773,0.19016613066196442,0.025268228724598885,0.12695710361003876,0.025877801701426506,0.13279969990253448,0.055291254073381424,0.3287661075592041,0,0.63778811693191528,0.052456233650445938,99.619659423828125
14,5296.4379,,,,,,fear1,1,,,,,,,,,,,,
15,5330.4941,,,,,,fear1,1,0.13190402090549469,0.18928681313991547,0.025224156677722931,0.12698304653167725,0.026261262595653534,0.13333463668823242,0.055292993783950806,0.3287661075592041,0,0.71891921758651733,0.042791873216629028,99.621429443359375
16,5362.9923,,,,,,fear1,1,,,,,,,,,,,,
17,5397.4147,,,,,,fear1,1,0.13185414671897888,0.18810655176639557,0.025277290493249893,0.12678606808185577,0.026744356378912926,0.13382934033870697,0.055294226855039597,0.3287661075592041,0,0.84583431482315063,0.042390294373035431,99.623779296875
18,5430.3254,,,,,,fear1,1,,,,,,,,,,,,
19,5464.2206,,,,,,fear1,1,0.13199223577976227,0.18667981028556824,0.025317134335637093,0.12652097642421722,0.026989931240677834,0.1339695006608963,0.055298313498497009,0.3287661075592041,0,0.75778365135192871,0.037481807172298431,99.62664794921875
20,5496.0108,,,,,,fear1,1,,,,,,,,,,,,
21,5530.1075,,,,,,fear1,1,0.13194805383682251,0.18541985750198364,0.025294166058301926,0.12633624672889709,0.027110422030091286,0.13404983282089233,0.055299337953329086,0.3287661075592041,0,0.77462661266326904,0.039916250854730606,99.629158020019531
22,5563.0195,,,,,,fear1,1,,,,,,,,,,,,
23,5596.9291,,,,,,fear1,1,0.13211329281330109,0.18442992866039276,0.025396794080734253,0.12615334987640381,0.027420386672019958,0.13452400267124176,0.055298469960689545,0.3287661075592041,0,0.86050552129745483,0.039108429104089737,99.631149291992188
24,5630.0835,,,,,,fear1,1,,,,,,,,,,,,
25,5664.1292,,,,,,fear1,1,0.13159440457820892,0.18381877243518829,0.025328263640403748,0.12605631351470947,0.027361655607819557,0.1343226283788681,0.055300578474998474,0.3287661075592041,0,0.91150712966918945,0.038513761013746262,99.632369995117188
26,5697.0405,,,,,,fear1,1,,,,,,,,,,,,
27,5730.1048,,,,,,fear1,1,0.13038933277130127,0.18058761954307556,0.025279819965362549,0.12513083219528198,0.028078246861696243,0.13372473418712616,0.055303879082202911,0.3287661075592041,0,1.159592866897583,0.036798972636461258,99.638824462890625
28,5763.6241,,,,,,fear1,1,,,,,,,,,,,,
29,5797.4911,,,,,,fear1,1,0.1300923228263855,0.18106159567832947,0.025291705504059792,0.12518590688705444,0.028041461482644081,0.13359540700912476,0.055305615067481995,0.3287661075592041,0,1.1124866008758545,0.035233430564403534,99.637870788574219
30,5831.022,,,,,,fear1,1,,,,,,,,,,,,
31,5862.9348,,,,,,fear1,1,0.12916462123394012,0.18007203936576843,0.025344956666231155,0.12461107969284058,0.028111247345805168,0.13276441395282745,0.055305615067481995,0.3287661075592041,0,1.1409229040145874,0.03674008697271347,99.639854431152344
32,5896.9859,,,,,,fear1,1,,,,,,,,,,,,
33,5930.0629,,,,,,fear1,1,0.12911917269229889,0.1809665709733963,0.025496628135442734,0.12478169798851013,0.027943303808569908,0.13309940695762634,0.055306822061538696,0.3287661075592041,0,1.0592693090438843,0.040557228028774261,99.6380615234375
34,5963.0623,,,,,,fear1,1,,,,,,,,,,,,
35,5997.9531,,,,,,fear1,1,,,,,,,,,,,,
36,6031.0805,,,,,,fear1,1,,,,,,,,,,,,
37,6063.382,,,,,,fear1,1,0.12949931621551514,0.18012560904026031,0.026105664670467377,0.12438547611236572,0.029126202687621117,0.13498924672603607,0.055306769907474518,0.3287661075592041,0,1.2121995687484741,0.04449799656867981,99.639755249023438
38,6097.326,,,,,,fear1,1,,,,,,,,,,,,
39,6130.4104,,,,,,fear1,1,0.13062645494937897,0.18053701519966125,0.0265810526907444,0.12466967105865479,0.028487382456660271,0.13640281558036804,0.055303245782852173,0.3287661075592041,0,1.0898642539978027,0.040733791887760162,99.638923645019531
